ITEM,HS CODE,GOODS DESCRIPTION 
2017,58064000,Fabrics with warp without weft assembled by an adhesive (bolducs)
2018,58071000,"Labels, badges... of textiles, woven, in piece..., not embroidered"
2019,58079000,"Labels, badges... of textiles, unwoven, in piece..., not embroidered"
2020,58081000,"Braids, in the piece"
2021,58089000,"Ornamental trimmings in the piece; tassels, pompons, etc, nes"
2022,58109200,"Other embroidery of man-made fibres, in the piece, in strips or in motifs"
2023,58109900,"Other embroidery of other textiles, in the piece, in strips or in motifs"
2024,58110000,Quilted textile products in the piece (excl. embroidery of 58.10)
2025,59011000,"Textile fabrics coated with gum or amylaceous substances for books, etc"
2026,59019000,"Tracing cloth; prepared painting canvas; buckram, etc"
2027,59021000,Tyre cord fabric of high tenacity yarn of nylon or other polyamides
2028,59022000,Tyre cord fabric of high tenacity yarn of polyesters
2029,59029000,Tyre cord fabric of high tenacity yarn of viscose rayon
2030,59031000,Textile fabrics impregnated... with polyvinyl chloride
2031,59032000,Textile fabrics impregnated... with polyurethane
2032,59039000,"Textile fabrics impregnated... with plastics, nes"
2033,59041000,Linoleum
2034,59049000,Floor covering of coating or covering applied on a textile backing cut or otherwise.
2035,59050000,Textile wall coverings
2036,59061000,Adhesive tape of a width =<20cm
2037,59069900,"Rubberized textile fabrics, nes"
2038,59070000,Textile fabrics otherwise impregnated... ; painted canvas...
2039,59080000,"Textile wicks for lamps...; incandescent gas mantles, etc"
2040,59090000,"Textile... tubing, with or without lining, etc, of other materials"
2041,59100000,"Transmission or conveyor belts or belting, of textile material ...."
2042,59111000,"Textile fabrics,combined with rubber/leather/other materials for technical uses"
2043,59113200,"Textile fabrics and felts, for paper-making machines, >=650g/m2"
2044,59114000,"Straining cloth of a kind used in oil presses, etc"
2045,59119000,"Textile articles for technical uses, nes, as specified in Chapter Note 7"
2046,60012100,"Looped pile fabrics of cotton, knitted or crocheted"
2047,60012200,"Looped pile fabrics of man-made fibres, knitted or crocheted"
2048,60019100,"Pile fabrics of cotton, nes, knitted or crocheted"
2049,60019200,"Pile fabrics of man-made fibres, nes, knitted or crocheted"
2050,60019900,"Pile fabrics of textile materials, nes, knitted or crocheted"
2051,60029000,"knitted or crocheted fabrics, nes, >30cm wide"
2052,60032000,Knitted or crocheted fabrics of cotton =< 30cm other than of 60.01 or 60.02
2053,60033000,Knitted or crocheted fabrics of synthetic fibres =< 30cm other than of 60.01/02
2054,60041000,Knitted or crocheted fabrics of >30cm with =>5% weight of elast yarn with no rubber thr
2055,60049000,"Knitted or crocheted fabrics, nes, of a width >30cm"
2056,60053200,Warp knit fabrics of synthetic fibres dyed
2057,60054200,Warp knit fabrics of artificial fibres dyed
2058,60061000,Other knitted or crocheted fabrics of wool or fine animal hair
2059,60062100,Other knitted or crocheted fabrics of cotton unbleached or bleached
2060,60062200,Other knitted or crocheted fabrics of cotton dyed
2061,60062400,Other knitted or crocheted fabrics which are printed
2062,60063200,Other knitted or crocheted fabrics of synthetic fibres which are dyed
2063,60063400,Other knitted or crocheted fabrics of synthetic fibres which are printed
2064,60064100,Other knitted or crocheted fabrics of artificial fibres unbleached or bleached
2065,60064200,Other knitted or crocheted fabrics of artificial fibres which are dyed
2066,60069000,Other knitted or crocheted fabrics of artificial fibres  not else where specified
2067,61013000,"Men's or boys' coats, etc, of man-made fibres, knitted or crocheted"
2068,61019000,"Men's or boys' coats, etc, of other textiles, knitted or crocheted"
2069,61021000,"Woman's or girls' coats,etc, of wool..., knitted or crocheted"
2070,61022000,"Woman's or girls' coats, etc, of cotton, knitted or crocheted"
2071,61023000,"Woman's or girls' coats, etc, of man-made fibres, knitted or crocheted"
2072,61031000,Suits
2073,61032200,"Men's or boys' ensembles of cotton, knitted or crocheted"
2074,61032900,"Men's or boys' ensembles of other textiles, nes, knitted or crocheted"
2075,61033200,"Men's or boys'jackets and blazers of cotton, knitted or crocheted"
2076,61033310,"Men's or boys'rflective jackets... of synthetic fibres, knitted or crocheted"
2077,61033390,"Other men's or boys' jackets... of synthetic fibres, knitted or crocheted"
2078,61033900,"Men's or boys' jackets... of other textiles, nes, knitted or crocheted"
2079,61034100,"Men's or boys' trousers, etc, of wool..., knitted or crocheted"
2080,61034200,"Men's or boys' trousers, etc, of cotton, knitted or crocheted"
2081,61034300,"Men's or boys' trousers, etc, of synthetic fibres, knitted or crocheted"
2082,61034900,"Men's or boys' trousers, etc, of other textiles, knitted or crocheted"
2083,61041900,"Women's or girls' suits of other textiles, nes, knitted or crocheted"
2084,61042200,"Women's or girls' ensembles, of cotton, knitted or crocheted"
2085,61042900,"Women's or girls' ensembles, of other textiles, knitted or crocheted"
2086,61043200,"Women's or girls' jackets, of cotton, knitted or crocheted"
2087,61043390,"Other women's or girls' jackets, of synthetic fibres, knitted or crocheted"
2088,61043900,"Woman's or girls' jackets, of other textiles, knitted or crocheted"
2089,61044200,"Dresses of cotton, knitted or crocheted"
2090,61044300,"Dresses of synthetic fibres, knitted or crocheted"
2091,61044900,"Dresses of other textile material, nes, knitted or crocheted"
2092,61045200,"Skirts and divided skirts of cotton, knitted or crocheted"
2093,61045300,"Skirts and divided skirts of synthetic fibres, knitted or crocheted"
2094,61045900,"Skirts and divided skirts of other textiles, nes, knitted or crocheted"
2095,61046200,"Women's or girls' trousers, etc, of cotton, knitted or crocheted"
2096,61046300,"Women's or girls' trousers, etc, of synthetic, knitted or crocheted"
2097,61046900,"Women's or girls' trousers, etc, of other textile, knitted or crocheted"
2098,61051000,"Men's or boys' shirts of cotton, knitted or crocheted"
2099,61052000,"Men's or boys' shirts of man-made fibres, knitted or crocheted"
2100,61059000,"Men's or boys' shirts of other textiles, nes, knitted or crocheted"
2101,61061000,"Women's or girls' blouses, etc, of cotton, knitted or crocheted"
2102,61062000,"Women's or girls' blouses, etc, of man-made fibres, knitted or crocheted"
2103,61069000,"Women's or girls' blouses etc. of other textiles nes, knitted or crocheted"
2104,61071100,"Men's or boys' underpants and briefs of cotton, knitted or crocheted"
2105,61071200,"Men's or boys' underpants, etc, of man-made fibres, knitted or crocheted"
2106,61071900,"Men's or boy's underpants etc. of other textiles nes, knitted or crocheted"
2107,61072100,"Men's or boys' pyjamas of cotton, knitted or crocheted"
2108,61072900,"Men's or boys' pyjamas of other textiles, nes, knitted or crocheted"
2109,61079100,"Men's or boys' dressing gowns, etc, of cotton, knitted or crocheted"
2110,61079900,"Men's or boys' dressing gowns, of other textiles,nes, knitted or crocheted"
2111,61081100,"Women's or girls' slips, etc, of man-made fibres, knitted or crocheted"
2112,61081900,"Women's or girls' slips, etc, of other textiles,nes, knitted or crocheted"
2113,61082100,"Women's or girls' briefs and panties of cotton, knitted or crocheted"
2114,61082200,"Women's or girls' briefs, etc, of man-made fibres, knitted or crocheted"
2115,61082900,"Women's or girls' briefs, etc, of other textiles,nes, knitted or crocheted"
2116,61083100,"Women's or girls' nighties..., etc, of cotton, knitted or crocheted"
2117,61083200,"Women's or girls' pyjamas, etc, of man-made fibres, knitted or crocheted"
2118,61083900,"Women's or girls' nighties, etc, of other textiles, knitted or crocheted"
2119,61089100,"Women's or girls' dressing gowns..., of cotton, knitted or crocheted"
2120,61089200,"Women's or girls' dressing gowns of man-made fibre, knitted or crocheted"
2121,61089900,"Women's / girls' dressing gowns of other textiles,nes,knitted or crocheted"
2122,61091000,"T-shirts, singlets and other vests, of cotton, knitted or crocheted"
2123,61099010,"Reflective vests of other textiles, nes, knitted or crocheted"
2124,61099090,"Other T-shirts, singlets,vests, etc, of other textiles, nes, knitted or crocheted"
2125,61101100,"Jerseys, pullovers, etc, of wool..., knitted or crocheted"
2126,61101900,"Jerseys, pullovers, etc, of fine animal hair..., knitted or crocheted"
2127,61102000,"Jerseys, pullovers, etc, of cotton, knitted or crocheted"
2128,61103000,"Jerseys, pullovers, etc, of man-made fibres, knitted or crocheted"
2129,61109000,"Jerseys, pullovers, etc, of other textiles,nes, knitted or crocheted"
2130,61112000,"Babies' garments, etc, of cotton, knitted or crocheted"
2131,61113000,"Babies' garments, etc, of synthetic fibres, knitted or crocheted"
2132,61119000,"Babies' garments, etc, of other textiles,nes, knitted or crocheted"
2133,61121100,"Track-suits of cotton, knitted or crocheted"
2134,61121200,"Track-suits of synthetic fibres, knitted or crocheted"
2135,61121900,"Track-suits of other textiles,nes, knitted or crocheted"
2136,61122000,"Ski-suits, knitted or crocheted"
2137,61124100,"Women's or girls' swimwear of synthetic fibres, knitted or crocheted"
2138,61124900,Women's/girls' swimwear of other textiles(exc.synthetic) knitted/crocheted
2139,61130000,"Garments made up of knitted or crocheted fabrics of 59.03, 59.06, 59.07"
2140,61142000,"Garments of cotton, knitted or crocheted, nes"
2141,61143000,"Garments of man-made fibres, knitted or crocheted, nes"
2142,61149000,"Garments of other textiles, knitted or crocheted, nes"
2143,61151000,"Graduated compression hosiery(for example, stockings for varicose veins)"
2144,61152100,"Other panty hose and tights of synthetic fibres,measuring per single yarn<67decitex"
2145,61152900,Other panty hose and tights of other textile materials
2146,61159500,"Hosiery and footwear, of cotton, knitted or crocheted, nes"
2147,61159600,"Hosiery and footwear, of synthetic fibres, knitted or crocheted, nes"
2148,61159900,"Hosiery and footwear, of other textiles, knitted or crocheted, nes"
2149,61161000,"Gloves,mittens,mitts,impregnated with plastics/rubber,knitted or crocheted"
2150,61169200,"Gloves, mittens and mitts, of cotton, knitted or crocheted"
2151,61169300,"Gloves, mittens and mitts, of synthetic fibres, knitted or crocheted"
2152,61169900,"Gloves, mittens and mitts, of other textiles, knitted or crocheted"
2153,61171000,"Shawls, scarves, mufflers, mantillas, veils, etc, knitted or crocheted"
2154,61178000,"Other clothing accessories, knitted or crocheted, nes"
2155,61179000,"Parts of garments or clothing accessories, knitted or crocheted"
2156,62011110,"Men's or boys' raincoats, etc, of wool or fine animal hair"
2157,62011190,"Other Men's or boys' overcoats, etc, of wool or fine animal hair"
2158,62011210,"Men's or boys' raincoats, etc, of cotton"
2159,62011290,"Other Men's or boys' overcoats, etc, of cotton"
2160,62011310,"Men's or boys' raincoats, etc, of man-made fibres"
2161,62011390,"Other men's or boys' overcoats, etc, of man-made fibres"
2162,62011910,"Men's or boys' raincoats, etc, of other textiles, nes"
2163,62011990,"Other men's or boys' overcoats, etc, of other textiles, nes"
2164,62019200,"Men's or boys' anoraks, wind-cheaters, etc, of cotton"
2165,62019300,"Men's or boys' anoraks, wind-cheaters, etc, of man-made fibres"
2166,62019900,"Men's or boys' anoraks, wind-cheaters, etc, of other textiles, nes"
2167,62021110,"Woman's or girls' raincoats, etc, of wool or fine animal hair"
2168,62021290,"Other woman's or girls' overcoats, etc, of cotton"
2169,62021310,"Woman's or girls' raincoats, etc, of man-made fibres"
2170,62021390,"Other woman's or girls' overcoats, etc, of man-made fibres"
2171,62021910,"Woman's or girls' raincoats, etc, of other textiles, nes"
2172,62021990,"Other woman's or girls' overcoats, etc, of other textiles, nes"
2173,62029100,"Woman's or girls' anoraks, wind-cheaters, etc, of wool..."
2174,62029200,"Woman's or girls' anoraks, wind-cheaters, etc, of cotton"
2175,62031100,Men's or boys' suits of wool or fine animal hair
2176,62031200,Men's or boys' suits of synthetic fibres
2177,62031900,"Men's or boys' suits of other textiles, nes"
2178,62032200,Men's or boys' ensembles of cotton
2179,62032300,Men's or boys' ensembles of synthetic fibres
2180,62032900,"Men's or boys' ensembles of other textiles, nes"
2181,62033200,Men's or boys' jackets and blazers of cotton
2182,62033390,Other men's or boys' jackets and blazers of synthetic fibres
2183,62033900,"Men's or boys' jackets and blazers of other textiles, nes"
2184,62034200,"Men's or boys' trousers, breeches, etc, of cotton"
2185,62034300,"Men's or boys' trousers, breeches of synthetic fibres"
2186,62034900,"Men's or boys' trousers, breeches of other textiles, nes"
2187,62041200,Women's or girls' suits of cotton
2188,62041300,Women's or girls' suits of synthetic fibres
2189,62041900,"Women's or girls' suits of other textiles, nes"
2190,62042100,Women's or girls' ensembles of wool or fine animal hair
2191,62042200,Women's or girls' ensembles of cotton
2192,62042900,"Women's or girls' ensembles of other textiles, nes"
2193,62043200,Women's or girls' jackets and blazers of cotton
2194,62043300,Women's or girls' jackets and blazers of synthetic fibres
2195,62043900,"Women's or girls' jackets and blazers of other textiles, nes"
2196,62044100,Dresses of wool or fine animal hair
2197,62044200,Dresses of cotton
2198,62044300,Dresses of synthetic fibres
2199,62044400,Dresses of artificial fibres
2200,62044900,"Dresses of other textiles, nes"
2201,62045200,Skirts and divided skirts of cotton
2202,62045300,Skirts and divided skirts of synthetic fibres
2203,62045900,"Skirts and divided skirts of other textiles, nes"
2204,62046100,"Women's or girls' trousers, breeches, etc, of wool or fine animal hair"
2205,62046200,"Women's or girls' trousers, breeches, etc, of cotton"
2206,62046300,"Women's or girls' trousers, breeches, etc, of synthetic fibres"
2207,62046900,"Women's or girls' trousers, breeches, etc, of other textiles, nes"
2208,62052000,Men's or boys' shirts of cotton
2209,62053000,Men's or boys' shirts of man-made fibres
2210,62059000,"Men's or boys' shirts of other textiles, nes"
2211,62061000,"Women's or girls' blouses, shirts, etc, of silk or silk waste"
2212,62062000,"Women's or girls' blouses, shirts, etc, of wool or fine animal hair"
2213,62063000,"Women's or girls' blouses, shirts, etc, of cotton"
2214,62064000,"Women's or girls' blouses, shirts, etc, of man-made fibres"
2215,62069000,"Women's or girls' blouses, shirts, etc, of other textiles, nes"
2216,62071100,Men's or boys' underpants and briefs of cotton
2217,62071900,"Men's or boys' underpants and briefs of textile materials, nes"
2218,62072100,Men's or boys' nightshirts and pyjamas of cotton
2219,62072900,"Men's or boys' nightshirts and pyjamas of textile materials, nes"
2220,62079100,"Men's or boys' singlets... dressing gowns, etc, of cotton"
2221,62079910,"Men's or boys' reflective vests of other textiles, nes"
2222,62079990,"Other men's or boys' singlets, vests... dressing gowns, etc, of other textiles, nes"
2223,62081100,Slips and petticoats of man-made fibres
2224,62081900,"Slips and petticoats of other textiles, nes"
2225,62082200,Women's or girls' nightdresses and pyjamas of man-made fibres
2226,62082900,"Women's or girls' nightdresses and pyjamas of textile materials, nes"
2227,62089100,"Women's or girls' dressing gowns, panties, etc, of cotton"
2228,62089900,"Women's or girls' dressing gowns, panties, etc, of other textiles, nes"
2229,62092000,Babies' garments and clothing accessories of cotton
2230,62093000,Babies' garments and clothing accessories of synthetic fibres
2231,62099000,"Babies' garments and clothing accessories of other textiles, nes"
2232,62101000,"Garments, made up of fabrics of 56.02 or 56.03"
2233,62102000,"Garments of 6201.11 to 19, made up of fabrics of 59.03, 59.06 or59.07"
2234,62103000,"Garments of 6202.11 to 19, made up of fabrics of 59.03, 59.06 or 59.07"
2235,62104000,"Men's or boys' garments made up of fabrics of 59.03, 59.06 or 59.07"
2236,62105000,"Women's or girls' garments made up of fabrics of 59.03, 59.06 or 59.07"
2237,62111100,Men's or boys' swimwear
2238,62111200,Women's or girls' swimwear
2239,62113200,"Men's or boys' garments of cotton, nes"
2240,62113300,"Men's or boys' garments of man-made fibres, nes"
2241,62113900,"Men's or boys' garments of other textiles, nes"
2242,62114200,"Women's or girls' garments of cotton, nes"
2243,62114900,"Women's or girls' garments of other textiles, nes"
2244,62121000,Brassières
2245,62123000,Corselettes
2246,62129000,"Corsets, braces, garters, suspenders and similar articles"
2247,62132000,Handkerchiefs of cotton
2248,62139000,"Handkerchiefs of other textiles, nes"
2249,62143000,"Shawls, scarves, mufflers, mantillas, veils, etc, of synthetic fibres"
2250,62144000,"Shawls, scarves, mufflers, mantillas, veils, etc, of artificial fibres"
2251,62149000,"Shawls, scarves, mufflers, mantillas, veils, etc, of other textiles, nes"
2252,62151000,"Ties, bow ties and cravats of silk or silk waste"
2253,62152000,"Ties, bow ties and cravats of man-made fibres"
2254,62159000,"Ties, bow ties and cravats of other textiles, nes"
2255,62160000,"Gloves, mittens and mitts"
2256,62171000,"Clothing accessories, nes"
2257,62179010,Shoulder pads
2258,62179090,"Other made up clothing accessories,parts of garments or of clothing accessories, nes"
2259,63011000,Electric blankets
2260,63012000,"Blankets (excl. electric blankets) and travelling rugs, of wool..."
2261,63013000,"Blankets (excl. electric blankets) and travelling rugs, of cotton"
2262,63014000,"Blankets (excl. electric blankets), etc, of synthetic fibres"
2263,63019000,"Other blankets and travelling rugs, nes"
2264,63021000,"Bed linen, knitted or crocheted"
2265,63022100,Printed bed-linen of cotton (excl. knitted or crocheted)
2266,63022200,Printed bed-linen of man-made fibres (excl. knitted or crocheted)
2267,63022900,Printed bed-linen of other textiles (excl. knitted or crocheted)
2268,63023100,"Bed linen of cotton (excl. printed, knitted or crocheted)"
2269,63023200,"Bed linen of man-made fibres (excl. printed, knitted or crocheted)"
2270,63023900,"Bed linen of other textiles (excl. printed, knitted or crocheted)"
2271,63024000,"Table linen, knitted or crocheted"
2272,63025100,Table linen of cotton (excl. knitted or crocheted)
2273,63025300,Table linen of man-made fibres (excl. knitted or crocheted)
2274,63025900,"Table linen of other textiles, nes (excl. knitted or crocheted)"
2275,63026000,"Toilet linen and kitchen linen, of terry fabrics, of cotton"
2276,63029100,"Toilet linen and kitchen linen of cotton, nes"
2277,63029300,"Toilet linen and kitchen linen of man-made fibres, nes"
2278,63029900,"Toilet linen and kitchen linen of other textiles, nes"
2279,63031200,"Curtains, etc; valances of synthetic fibres, knitted or crocheted"
2280,63031900,"Curtains, etc; valances of textile materials, knitted or crocheted"
2281,63039100,Curtains and interior blinds; curtain or bed valances of cotton
2282,63039200,Curtains and interior blinds; curtain/bed valances of synthetic fibres
2283,63039900,Curtains and interior blinds; curtain/bed valances of other textiles
2284,63041100,Knitted or crocheted bedspreads
2285,63041900,Bedspreads (excl. knitted or crocheted)
2286,63049100,"Knitted or crocheted furnishing articles, nes"
2287,63049200,"Furnishing articles, nes, of cotton (excl. knitted or crocheted)"
2288,63049300,Furnishing articles of synthetic fibres (excl. knitted or crocheted)
2289,63049900,Furnishing articles of other textiles (excl. knitted or crocheted)
2290,63051000,"Sacks and bags, used for packing goods, of jute, etc"
2291,63052000,"Sacks and bags, used for packing goods, of cotton"
2292,63053200,"Flexible intermediate bulk containers, of man-made textile materials"
2293,63053300,"Sacks and bags,for packing goods,of polyethylene/polypropylene strip nes"
2294,63053900,"Sacks and bags, used for packing goods, of man-made textile fibres, nes"
2295,63059000,"Sacks and bags, used for packing goods, of other textiles, nes"
2296,63061200,"Tarpaulins, awnings and sunblinds, of synthetic fibres"
2297,63061900,"Tarpaulins, awnings and sunblinds, of other textiles, nes"
2298,63062200,Tents of synthetic fibres
2299,63062900,"Tents of textiles, (excl. cotton or synthetic fibres)"
2300,63063000,Sails
2301,63064000,Pneumatic matresses
2302,63069000,Sailboards or landcrafts; camping goods
2303,63071000,"Floor-cloths, dish-cloths, dusters and similar cleaning cloths"
2304,63072000,Life-jackets and life-belts
2305,63079010,Sanitary towels
2306,63079090,"Made up articles,incl dress partens, nes"
2307,63080000,"Sets of woven fabric and yarn, for making up into rugs, etc, prs"
2308,63090000,Worn clothing and other worn articles
2309,63101010,Sorted used or new rags for use in the manufacture of blankets
2310,63101090,"Other sorted used or new rags ,worn out scrap twine,cordage,rope etc"
2311,63109010,Other used or new rags for use in the manufacture of blankets not sorted
2312,63109090,"Other used or new rags,worn out scrap twine,cordage,rope etc not sorted"
2313,64011000,"Footwear, with metal toe-cap, of rubber or plastics"
2314,64019200,Footwear covering the ankle but not covering the knee
2315,64019900,Waterproof footwear (not covering the ankle)
2316,64021900,"Sport footwear, nes, of rubber or plastics"
2317,64022000,"Footwear with upper straps/thongs plugged into soles, of rubber or plastics"
2318,64029100,"Footwear, nes, covering the ankle of rubber or plastics"
2319,64029900,"Footwear, nes, not covering the ankle, of rubber or plastics"
2320,64031200,"Ski-boots, snowboard boots, with rubber,plastics,leather soles,& leather uppers"
2321,64031900,"Sports footwear, with rubber, plastics, leather...soles, leather uppers"
2322,64032000,"Footwear, with outer leather soles and uppers with leather straps across the instep ---"
2323,64034000,"Footwear, with a metal toe-cap, leather uppers"
2324,64035100,"Footwear with leather soles and uppers, covering the ankle"
2325,64035900,"Footwear with leather soles and uppers, not covering the ankle"
2326,64039100,"Footwear with rubber... soles and leather uppers, covering the ankle"
2327,64039900,"Footwear with rubber... soles, leather uppers, not covering the ankle"
2328,64041100,"Training shoes, etc, with rubber or plastic soles and textile uppers"
2329,64041900,"Sports footwear, with rubber or plastic soles and textile uppers"
2330,64042000,Footwear with leather or composition leather soles and textile uppers
2331,64051000,"Footwear, nes, with leather or composition leather uppers"
2332,64052000,"Footwear, nes, with textile uppers"
2333,64059000,"Footwear, nes"
2334,64061000,Uppers and parts thereof (excl. stiffeners)
2335,64062000,Outer soles and heels of rubber or plastics
2336,64069000,"Gaiters, leggings and similar articles, nes"
2337,65010010,Hoods of felt
2338,65010090,Hat-forms & hat bodies of felt; plateaux & manchons of felt
2339,65040000,"Hats and other headgear, plaited or assembled by strips of any material"
2340,65050000,"Hats, hair-nets and other headgear, knitted or crocheted, or made from lace, etc"
2341,65061000,Safety headgear
2342,65069100,"Hats and other headgear, of rubber or plastics"
2343,65069900,"Hats and other headgear, nes"
2344,65070000,"Head-bands, linings, covers, hat foundations, etc, for headgear"
2345,66011000,Garden or similar umbrellas
2346,66019100,"Umbrellas and sun umbrellas, having a telescopic shaft"
2347,66019900,"Umbrellas and sun umbrellas, nes"
2348,66020000,"Walking-sticks, seat-sticks, whips, riding-crops and the like"
2349,66032000,"Umbrella frames, including frames mounted on shafts (sticks)"
2350,67021000,"Artificial flowers, foliage and fruit and articles thereof of plastics"
2351,67029000,"Artificial flowers, foliage, etc and articles thereof of other materials"
2352,67030000,"Human hair, dressed, etc; animal hair and synthetic materials for wigs"
2353,67041100,Complete wigs of synthetic textile materials
2354,67041900,"False beards, eyebrows and eyelashes, etc, of synthetic fibres"
2355,67042000,"Wigs, false beards, eyebrows, etc and articles, nes, of human hair"
2356,67049000,"Wigs, false beards, eyebrows, etc,of other materials, nes"
2357,68021000,"Tiles, cubes...; artificially coloured granules..., for mosaics"
2358,68022100,"Marble, travertine, alabaster, cut/sawn, with flat/even surface"
2359,68022300,"Granite, cut/sawn, with flat/even surface"
2360,68022900,"Monumental/building stone, nes, cut/sawn, with flat/even surface"
2361,68029100,"Marble, travertine and alabaster, worked"
2362,68029200,"Calcareous stone (excl. marble, travertine and alabaster), worked"
2363,68029300,Worked granite
2364,68029900,"Monumental/building stone, nes, worked"
2365,68030000,Worked slate and articles of slate or of agglomerated slate
2366,68041000,"Millstones and grindstones for milling, grinding or pulping"
2367,68042100,"Millstones, etc, of agglomerated synthetic or natural diamond"
2368,68042200,"Millstones, etc, of other agglomerated abrasives or of ceramics"
2369,68042300,"Millstones, etc, of natural stone"
2370,68043000,Hand sharpening or polishing stones
2371,68051000,"Natural or artificial abrasive powder/grain, on textile fabric"
2372,68052000,"Natural or artificial abrasive powder/grain, on paper/paperboard"
2373,68053000,"Natural or artificial abrasive powder/grain, on a base of materials, nes"
2374,68061000,"Slag wool, rock wool, etc (incl. intermixtures) in bulk, sheets or rolls"
2375,68062000,"Exfoliated vermiculite, expanded clays, etc (incl. intermixtures)"
2376,68069000,Mixtures and articles of heat/sound-insulating materials
2377,68071000,"Articles of asphalt or of similar material, in rolls"
2378,68079000,Articles of asphalt or of similar material (excl. in rolls)
2379,68080000,"Panels, boards..., of wood waste, etc, agglomerated with cement, etc"
2380,68091100,"Boards..., of plaster..., reinforced with paper or paperboard only"
2381,68091900,"Boards..., of plaster or compositions based on plaster, nes"
2382,68099000,"Articles of plaster or compositions based on plaster, nes"
2383,68101110,Building blocks of cement or artificial stone or concrete
2384,68101190,Building bricks of cement or artificial stone or concrete
2385,68101900,"Flagstones and similar articles of cement, concrete or artificial stone"
2386,68109900,"Articles of cement, concrete or artificial stone, nes"
2387,68114000,Articles of asbestos-cement of cellulose fibre cement containing asbestos
2388,68118200,"Other sheets, sheets, panels, tiles and similar articles not containing asbestos"
2389,68118900,Other articles of asbestos cement of cellulose
2390,68129100,"Clothing, clothing accessories, footwear and headgear of fabricated asbestos fibres"
2391,68129300,"Compressed asbestos fibre jointing, in sheets or rolls"
2392,68129900,Other fabricated asbestos fibres
2393,68132000,Friction material and articles thereof not mounted containing asbestos
2394,68138100,"Brake linings and pads,not containing asbestos"
2395,68138900,Other friction material not containing asbestos
2396,68149000,"Worked mica and articles of mica, nes"
2397,68151000,Non-electrical articles of graphite or other carbon (incl. carbon fibres)
2398,68159900,"Articles of stone or other mineral substances, nes"
2399,69010000,"Bricks, blocks, tiles... of siliceous fossil meals or earths"
2400,69021000,"Refractory bricks, blocks, tiles..., >50% MgO, CaO, Cr2O3"
2401,69022000,"Refractory bricks, blocks..., >50% silica (SiO3) or alumina (Al2O3)"
2402,69029000,"Refractory bricks, blocks, tiles, etc, nes"
2403,69031000,"Refractory ceramic goods, nes, >50% of graphite or other carbon"
2404,69032000,"Refractory ceramic goods, nes, >50% of alumina (Al2O3) or silica (SiO2)"
2405,69039010,Crucibles
2406,69039090,Refractory ceramic goods(eg retorts...) other than those of siliceous..nes
2407,69041000,Ceramic building bricks
2408,69049000,"Ceramic flooring blocks, support or filler tiles and the like"
2409,69051000,Ceramic roofing tiles
2410,69059000,"Ceramic chimney-pots... and ceramic constructional goods,nes"
2411,69060000,"Ceramic pipes, conduits, guttering and pipe fittings"
2412,69071000,"Unglazed ceramic tiles, cubes and similar articles, for mosaics"
2413,69079000,"Unglazed ceramic flags and paving, hearth or wall tiles, etc, nes"
2414,69081000,"Glazed tiles, cubes and similar articles, for mosaics"
2415,69089000,"Glazed ceramic flags and paving, hearth or wall tiles, etc, nes"
2416,69091100,"Ceramic wares for laboratory... use, of porcelain or china"
2417,69091200,"Ceramic wares for laboratory...use, having a hardness >=9 on the mohsscale"
2418,69091900,Ceramic wares for lab.use(excl.porcelain or china)having a hardness <9mohs
2419,69099000,"Ceramic (agricultural) troughs, tubs...; ceramic pot, jars..., nes"
2420,69101000,"Ceramic sinks... and other sanitary fixtures, of porcelain or china"
2421,69109000,"Ceramic sinks, wash basins, baths... and other sanitary fixtures, nes"
2422,69111000,"Tableware and kitchenware, of porcelain or china"
2423,69119000,"Household and toilet articles, nes, of porcelain or china"
2424,69120000,Ceramic tableware... other household articles (excl. porcelain or china)
2425,69131000,Statuettes and other ornamental articles of porcelain or china
2426,69139000,Statuettes and other ornamental articles (excl. porcelain or china)
2427,69141010,"Ceramic beads for personal adornment, of porcelain or china"
2428,69141090,"Other ceramic articles, nes, of porcelain or china"
2429,69149010,Other ceramic beads for personal adornment (excl. porcelain or china)
2430,69149090,"Other ceramic articles, nes (excl. porcelain or china)"
2431,70010000,Cullet and other waste and scrap of glass; glass in the mass
2432,70022000,"Rods of glass, unworked"
2433,70023100,"Tubes of fused quartz or other fused silica, unworked"
2434,70023900,"Tubes of glass, unworked, nes"
2435,70031200,"Nonwired unworked sheets cast/rolled glass,coloured,opacified,flashed or.."
2436,70031900,"Non-wired unworked sheets of cast/rolled glass, nes"
2437,70032000,Wired unworked sheets of cast/rolled glass
2438,70033000,Unworked profiles of cast/rolled glass
2439,70049000,"Unworked drawn/blown glass (excl. coloured, opacified, etc)"
2440,70051000,"Nonwired unworked sheets of float/ground/polished glass,wth absorbnt LAYER"
2441,70052100,"Non-wired unworked sheets of float/ground/polished glass, coloured..."
2442,70052900,"Non-wired unworked sheets of float/ground/polished glass, nes"
2443,70060000,"Glass of 70.03, 70.04 or 70.05, bent, edge-worked, engraved, etc"
2444,70071100,"Toughened (tempered) safety glass for use in vehicles, aircraft, etc"
2445,70071900,"Toughened (tempered) safety glass, nes"
2446,70072100,"Laminated safety glass for vehicles, aircraft, etc"
2447,70072900,"Laminated safety glass, nes"
2448,70080000,Multiple-walled insulating units of glass
2449,70091000,"Rear-view mirrors for vehicles, of glass"
2450,70099100,Unframed glass mirrors (excl. rear-view for vehicles)
