ITEM,HS CODE,GOODS DESCRIPTION 
178,07131090,"Other peas excl. pea seeds, shelled"
179,07132090,"Other dried chickpeas, shelled"
180,07133110,"Seed beans in quantities of less than 90kg, dried, shelled"
181,07133190,"Other beans, dried, shelled"
182,07133290,"Other dried adzuki beans, shelled"
183,07133310,"Kidney seed beans, in quantities of less than 90kg, shelled"
184,07133390,"Other dried kidney beans, shelled"
185,07133510,Seed of cow peas in quantities of less than 90kg
186,07133990,"Other dried beans, shelled, nes"
187,07134000,"Dried lentils, shelled"
188,07135090,"Other broad beans, horse beans nes"
189,07136000,Pigeon peas(Cajasnus cajan)
190,07139020,"Dried leguminous vegetables,being baby corn seed"
191,07139030,"Dried leguminous vegetables, shelled, being sweetcorn seeds"
192,07139090,"Other dried leguminous vegetables, shelled whether or not skinned or split"
193,07142000,"Sweet potatoes, fresh or dried, chilled or frozen"
194,07149000,"Roots and tubers with high starch content, fresh/ dried/ chilled/ frozen nes"
195,08011100,"Coconuts, desiccated, fresh or dried"
196,08011200,Coconuts in the inner shell(endocarp)
197,08011900,"Coconuts, excluding desiccated"
198,08012200,"Brazil nuts, without shell, fresh or dried"
199,08013200,"Cashew nuts, without shell, fresh or dried"
200,08021100,"Almonds in shell, fresh or dried"
201,08021200,"Almonds without shells, fresh or dried"
202,08023200,"Walnuts without shells, fresh or dried"
203,08025200,Pistachios shelled
204,08026100,Macadamia nuts in shell
205,08026200,Macadamia nuts shelled
206,08029000,"Other nuts, fresh or dried, nes"
207,08031000,"Banana plaintains, fresh or dried"
208,08039000,"Other bananas, fresh or dried"
209,08041090,"Dates, dried"
210,08042010,"Figs, fresh"
211,08043000,"Pineapples, fresh or dried"
212,08044000,"Avocados, fresh or dried"
213,08045000,"Guavas, mangoes and mangosteens, fresh or dried"
214,08051000,"Oranges, fresh or dried"
215,08052000,"Mandarins, clementines, wilkings...etc, fresh or dried"
216,08054000,"Grapefruit, including pomelos"
217,08055000,"Lemons(citrus limon,citrus limonum) and limes(citrus aurantifolia,citrus latifolia)"
218,08059000,"Citrus fruit, fresh or dried, nes"
219,08061000,Fresh grapes
220,08062000,Dried grapes
221,08071100,"Watermelons, fresh"
222,08071900,"Melons, fresh, (excl.watermelons)"
223,08072000,"Papaws (papayas), fresh"
224,08081000,"Apples, fresh"
225,08083000,"Pears, fresh"
226,08084000,"Quinces,fresh"
227,08091000,"Apricots, fresh"
228,08092900,"Other cherries, fresh"
229,08093000,"Peaches, including nectarines, fresh"
230,08094000,"Plums and sloes, fresh"
231,08101000,"Strawberries, fresh"
232,08102000,"Raspberries, blackberries, mulberries and loganberries, fresh"
233,08103000,"Black,white or red currants and gooseberries, fresh"
234,08105000,"Kiwifruit, fresh"
235,08106000,Durians
236,08109000,"Other fruit, fresh, nes"
237,08112000,"Raspberries, blackberries...etc, frozen"
238,08119000,"Other fruit and nuts, frozen, nes"
239,08121000,"Cherries, provisionally preserved, not for immediate consumption"
240,08129000,"Fruit and nuts, provisionally preserved, not for immediate consumption"
241,08131000,Dried apricots
242,08132000,Dried prunes
243,08133000,Dried apples
244,08134000,"Other dried fruit, nes"
245,08135000,"Mixtures of dried fruit and nuts, of  chapter 8"
246,09011100,"Coffee, not roasted or decaffeinated"
247,09011200,"Decaffeinated coffee, not roasted"
248,09012100,"Roasted coffee, not decaffeinated"
249,09012200,"Roasted, decaffeinated coffee"
250,09019000,"Coffee husks and skins,coffee substitutes containing coffee"
251,09021000,"Green tea, whether or not flavoured, in immediate packings of a content =<3kg."
252,09022000,"Green tea, whether or not flavoured, nes"
253,09023000,"Black tea fermented/ partly fermented, flavoured or not,in packings of <=3KG"
254,09024000,"Black tea fermented/ partly fermented, flavoured or not,in packings of >3KG"
255,09041100,Dried pepper (excl. crushed or ground)
256,09041210,Crushed or ground pepper seed
257,09041290,Other crushed or ground pepper
258,09042100,"Dried fruits of the genus Capsicum or of the genus Pimenta, neither crushed nor ground"
259,09062000,"Cinnamon and cinnamon-tree flowers, crushed or ground"
260,09072000,"Crushed or ground cloves (whole fruit, cloves and sterms)"
261,09083200,"Cardamons, crushed or ground"
262,09092100,"Seeds of coriander, neither crushed nor ground"
263,09092200,"Seeds of coriander,  crushed or ground"
264,09093100,Seeds of cumin neither crushed nor ground
265,09101100,Ginger neither crushed nor ground
266,09101200,Ginger crushed or ground
267,09102020,"Saffron, crushed or ground"
268,09103010,"Turmeric, neither ground nor crushed"
269,09103020,"Turmeric, crushed or ground"
270,09109120,"Spice mixtures, crushed or ground"
271,09109910,"Other spices, neither crushed nor ground"
272,09109920,"Other spices, crushed or ground nes"
273,10011900,Other durum wheat
274,10039000,Other barley
275,10049000,Other oats
276,10051000,Maize seed
277,10059000,Maize (Excluding Seed)
278,10061010,Rice in the husk (paddy or rough) in Bulk >= 25kg
279,10061090,Rice in the husk (paddy or rough) Pre-packed for retail sale  < 25kg
280,10062090,Husked (brown) rice Pre-packed for retail sale  < 25kg
281,10063010,"Semi-milled or wholly milled rice, whether or not polished in Bulk >= 25kg"
282,10063090,"Semi-milled/wholly milled rice, whether or not polished Pre-packed for retail sale <25kg"
283,10064010,Broken rice in Bulk >= 25kg
284,10064090,Broken rice Pre-packed for retail sale <25kg
285,10071000,Grain sorghum seed
286,10079000,Other grain sorghum
287,10082100,Millet seed
288,10082900,Other millet
289,10089000,"Other cereal, nes"
290,11010010,Wheat or meslin flour in Bulk in packings of 50kg or more
291,11010090,Wheat or meslin flour Pre-packed in < 50kg for retail sale
292,11022091,Other cereal flour in immediate packings of < 5kgs
293,11022099,Maize (corn) flour in immediate packings of >= 5kgs but < 50kgs
294,11031300,Groats and meal of maize (corn)
295,11031900,"Groats and meal of other cereals, nes"
296,11032000,Pellets of cereals
297,11041200,Rolled or flaked oat grains
298,11042200,"Other worked grains of oats, nes"
299,11042300,"Other worked grains of maize (corn), nes"
300,11042900,"Other worked grains of other cereals, nes"
301,11051000,"Potato flour, meal and powder."
302,11052000,"Potato flakes, granules and pellets"
303,11071000,Malt not roasted
304,11081100,Wheat starch
305,11081200,Maize (corn) starch
306,11081300,Potato starch
307,11081400,Manioc (cassava) starch
308,11081900,"Other starches, nes"
309,11090000,"Wheat gluten, whether dried or not dried."
310,12011000,"Soya beans seed, whether or not broken"
311,12019000,Other soya beans whether or not broken
312,12024200,"Other groundnuts not roasted or cooked, shelled whether or not broken"
313,12040000,Linseed
314,12051000,Low erucic acid rape or colza seeds
315,12060000,"Sunflower seeds, whether or not broken."
316,12072100,Cotton seeds
317,12074000,Sesamum seeds
318,12075000,Mustard seeds
319,12079100,Poppy seeds
320,12079900,"Other oil seeds, shea nuts and oleaginous fruits, nes"
321,12081000,Soya bean flour and meal
322,12089000,"Other flours and meal of oil seeds or oleaginous fruit, nes"
323,12092500,"Rye grass seed, of a kind used for sowing"
324,12092900,"Other seeds of forage plants, of a kind used for sowing, nes"
325,12093000,"Seeds of herbaceous plants, of a kind used for sowing"
326,12099100,"Vegetable seed, of a kind used for sowing"
327,12099900,"Other seeds, fruit and spores, of a kind used for sowing, nes"
328,12119000,"Other plants or parts, of a kind used in perfumery, pharmacy...etc, nes"
329,12122900,Other sea weeds and algae
